id;pembuat;pasir;batu;air
2;Althaf;4;1;5
3;Achai;3;3;3
4;Achai;3;4;1
5;Shafa;1;1;1
6;jin_kuli;5;4;4
7;Genie;2;2;5
9;Asep;5;1;1
11;Achai;5;2;4
12;jin_kuli;4;4;5
13;Genie;2;3;4
15;Asep;3;4;2
17;Achai;5;3;5
1;jin_kuli;4;1;2
1;jin_kuli;4;1;2
1;jin_kuli;4;1;2
1;jin_kuli;4;1;2
1;jin_kuli;4;1;2
1;jin_kuli;4;1;2
8;Genie;3;4;5
10;Asep;3;5;5
14;Achai;3;4;2
16;asdfhaoisdfhasoid;2;4;2
18;jin_kuli;3;2;3
19;Genie;5;1;2
20;Asep;3;2;5
21;Achai;5;5;2
22;asdfhaoisdfhasoid;2;5;3
23;jin_kuli;2;2;5
24;Genie;3;1;4
25;Asep;2;2;2
26;Achai;2;5;5
27;asdfhaoisdfhasoid;3;3;2
28;jin_kuli;5;4;3
29;Genie;1;3;1
30;Asep;1;1;2
31;Achai;2;1;1
32;asdfhaoisdfhasoid;4;3;1
33;jin_kuli;3;3;1
34;Genie;4;3;1
35;Asep;2;4;1
36;Achai;2;2;2
37;asdfhaoisdfhasoid;4;1;1
38;jin_kuli;4;3;5
39;Genie;1;2;1
40;Asep;1;2;4
41;Achai;3;3;3
42;asdfhaoisdfhasoid;1;1;1
43;jin_kuli;4;5;2
44;Genie;4;4;3
45;Asep;2;4;2
46;Achai;4;3;5
47;asdfhaoisdfhasoid;3;1;5
48;jin_kuli;2;3;1
49;Genie;1;5;3
50;Asep;1;2;1
51;Achai;5;2;4
52;asdfhaoisdfhasoid;3;4;4
53;jin_kuli;1;2;1
54;Genie;2;3;2
55;Asep;2;4;3
56;Achai;4;2;3
57;asdfhaoisdfhasoid;3;4;4
58;jin_kuli;1;4;2
59;Genie;1;4;2
60;Asep;5;2;3
61;Achai;1;4;3
62;asdfhaoisdfhasoid;5;3;4
63;jin_kuli;4;3;5
64;Genie;4;1;2
65;Asep;3;5;2
66;Achai;4;2;4
67;asdfhaoisdfhasoid;2;3;4
68;jin_kuli;1;2;1
69;Genie;5;5;4
70;Asep;4;5;4
71;Achai;4;5;1
72;asdfhaoisdfhasoid;1;1;4
73;jin_kuli;5;1;3
74;Genie;5;1;2
75;Asep;3;5;2
76;Achai;1;2;1
77;asdfhaoisdfhasoid;1;1;5
78;jin_kuli;2;3;1
79;Genie;5;4;5
80;Asep;2;4;5
81;Achai;5;2;1
82;asdfhaoisdfhasoid;5;5;2
83;jin_kuli;3;2;3
84;Genie;1;1;1
85;Asep;1;5;2
86;Achai;3;3;2
87;asdfhaoisdfhasoid;2;3;5
88;jin_kuli;5;2;4
89;Genie;2;1;4
90;Asep;5;3;2
91;Achai;4;5;4
92;asdfhaoisdfhasoid;1;4;1
93;jin_kuli;3;5;2
94;Genie;2;4;4
95;Asep;3;2;3
